,Smart Card,Recommended_Association_Rule
10,200013817587," SWEETENER,  FEMININE HYGIENE,  VISUAL,  TOILET CLEANER,  FRESH VEG,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  PLASTICS & THERMOWAR,  CONFECTIONARY,  HAIR CARE,  PATISSERIE,  DISPOSABLE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  BROWN SPIRITS,  CEREALS,  PULSES,  AUDIO,  FOOT WEAR CONC,  BISCUIT,  DISINFECTANT AND MUL,  FLOUR,  FOOD SERVICE,  SKIN CARE,  PACKAGED TEA,  KIDS BOYS BWEAR,  MASALA & SPICE,  BREAKFAST CEREAL,  SOUP,  EDIBLE OIL, UTENSIL CLEANER,  DAIRY,  FRESH FRUIT,  COFFEE,  SALT,  CLEANING AID,  BATHROOM AIDS,  FLOOR CARE,  ORGANIC FOOD,  POOJA NEED,  JAMS/HONEY/SPREAD,  COOKWARE METAL,  READY TO FRY,  NOODLE/VERMICELLI,  GIFT CARD & VOUCHERS,  BAKERY,  DRINKS & JUICES,  CARBONATED"
11,200013818887,
12,200013819026," EDIBLE OIL,  FOOT WEAR CONC,  BISCUIT,  CLEANING AID,  SWEETENER,  PATISSERIE,  FLOUR,  BAKERY,  VISUAL,  SKIN CARE,  FRESH VEG,  BREAKFAST CEREAL,  LAUNDRY,  MASALA & SPICE,  NOODLE/VERMICELLI,  GIFT CARD & VOUCHERS,  FRESH FRUIT, UTENSIL CLEANER,  UTENSIL CLEANER"
13,200013883410," EDIBLE OIL,  PLASTICS & THERMOWAR,  FOOT WEAR CONC,  SWEETENER,  DISINFECTANT AND MUL,  FLOUR,  KITCHEN APPLIANCES,  VISUAL,  LAUNDRY,  GIFT CARD & VOUCHERS,  FLOOR CARE, SWEETENER,  NOODLE/VERMICELLI"
14,200013885694," SWEETENER,  FEMININE HYGIENE,  VISUAL,  TOILET CLEANER,  KETCHUP/SAUCE,  FRESH VEG,  MEN'S TOPWEAR,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  STATIONERY,  DRY FRUIT,  PLASTICS & THERMOWAR,  CONFECTIONARY,  PATISSERIE,  HAIR CARE,  DISPOSABLE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  DRINKS & JUICES,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  BROWN SPIRITS,  CEREALS,  PULSES,  AUDIO,  FOOT WEAR CONC,  BISCUIT,  DISINFECTANT AND MUL,  FLOUR,  SKIN CARE,  FOOD SERVICE,  BREAKFAST CEREAL,  MASALA & SPICE,  PACKAGED TEA,  KIDS BOYS BWEAR,  SOUP,  EDIBLE OIL, UTENSIL CLEANER,  FRESH FRUIT,  DAIRY,  COFFEE,  SALT,  CLEANING AID,  BATHROOM AIDS,  ORGANIC FOOD,  KITCHEN APPLIANCES,  POOJA NEED,  JAMS/HONEY/SPREAD,  COOKWARE METAL,  READY TO FRY,  FLOOR CARE,  NOODLE/VERMICELLI,  BAKERY,  GIFT CARD & VOUCHERS,  CARBONATED"
15,200013885913," SWEETENER,  KETCHUP/SAUCE,  VISUAL,  TOILET CLEANER,  FEMININE HYGIENE,  FRESH VEG,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  STATIONERY,  PLASTICS & THERMOWAR,  CONFECTIONARY,  HAIR CARE,  PATISSERIE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  BROWN SPIRITS,  CEREALS,  PULSES,  FOOT WEAR CONC,  BISCUIT,  DISINFECTANT AND MUL,  FLOUR,  SKIN CARE,  FOOD SERVICE,  PACKAGED TEA,  MASALA & SPICE,  BREAKFAST CEREAL,  KIDS BOYS BWEAR,  SOUP,  EDIBLE OIL,  FRESH FRUIT,  DAIRY,  SALT,  COFFEE,  CLEANING AID,  FLOOR CARE,  ORGANIC FOOD,  POOJA NEED,  JAMS/HONEY/SPREAD,  COOKWARE METAL,  GIFT CARD & VOUCHERS,  NOODLE/VERMICELLI, MASALA & SPICE,  BAKERY,  DRINKS & JUICES,  CARBONATED,  READY TO FRY"
16,200013886073," SWEETENER,  FEMININE HYGIENE,  VISUAL,  TOILET CLEANER,  KETCHUP/SAUCE,  FRESH VEG,  MEN'S TOPWEAR,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  STATIONERY,  DRY FRUIT,  PLASTICS & THERMOWAR,  CONFECTIONARY,  PATISSERIE,  HAIR CARE,  DISPOSABLE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  DRINKS & JUICES,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  BROWN SPIRITS,  CEREALS,  PULSES,  AUDIO,  FOOT WEAR CONC,  BISCUIT,  DISINFECTANT AND MUL,  FLOUR,  SKIN CARE,  FOOD SERVICE,  BREAKFAST CEREAL,  MASALA & SPICE,  PACKAGED TEA,  KIDS BOYS BWEAR,  SOUP,  EDIBLE OIL, UTENSIL CLEANER,  FRESH FRUIT,  DAIRY,  SALT,  COFFEE,  CLEANING AID,  BABY NEEDS,  BATHROOM AIDS,  ORGANIC FOOD,  POOJA NEED,  JAMS/HONEY/SPREAD,  COOKWARE METAL,  READY TO FRY,  FLOOR CARE,  NOODLE/VERMICELLI,  BAKERY,  GIFT CARD & VOUCHERS,  CARBONATED"
17,200013889326," SWEETENER,  KETCHUP/SAUCE,  VISUAL,  TOILET CLEANER,  FRESH VEG,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  DRY FRUIT,  PLASTICS & THERMOWAR,  CONFECTIONARY,  PATISSERIE,  HAIR CARE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  BROWN SPIRITS,  CEREALS,  PULSES,  FOOT WEAR CONC,  BISCUIT,  DISINFECTANT AND MUL,  FLOUR,  SKIN CARE,  FOOD SERVICE,  KIDS BOYS BWEAR,  BREAKFAST CEREAL,  MASALA & SPICE,  PACKAGED TEA,  SOUP,  EDIBLE OIL,  DAIRY,  FRESH FRUIT,  SALT,  COFFEE,  CLEANING AID,  BATHROOM AIDS,  FLOOR CARE,  ORGANIC FOOD,  POOJA NEED,  JAMS/HONEY/SPREAD,  COOKWARE METAL,  CARBONATED,  READY TO FRY,  GIFT CARD & VOUCHERS, MASALA & SPICE,  BAKERY,  DRINKS & JUICES,  NOODLE/VERMICELLI"
18,200013890313," SWEETENER,  FEMININE HYGIENE,  TOILET CLEANER,  VISUAL,  KETCHUP/SAUCE,  FRESH VEG,  MEN'S TOPWEAR,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  STATIONERY,  DRY FRUIT,  PLASTICS & THERMOWAR,  CONFECTIONARY,  PATISSERIE,  HAIR CARE,  DISPOSABLE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  BROWN SPIRITS,  CEREALS,  PULSES,  AUDIO,  FOOT WEAR CONC,  BISCUIT,  DISINFECTANT AND MUL,  FLOUR,  FOOD SERVICE,  SKIN CARE,  BREAKFAST CEREAL,  MASALA & SPICE,  PACKAGED TEA,  KIDS BOYS BWEAR,  SOUP,  EDIBLE OIL,  FRESH FRUIT,  DAIRY,  SALT,  COFFEE,  CLEANING AID, CEREALS,  BATHROOM AIDS,  ORGANIC FOOD,  POOJA NEED,  JAMS/HONEY/SPREAD,  COOKWARE METAL,  GIFT CARD & VOUCHERS,  FLOOR CARE,  NOODLE/VERMICELLI,  BAKERY,  DRINKS & JUICES,  CARBONATED,  READY TO FRY"
19,200014412565,
20,200014435511,
21,200014508941," SWEETENER,  TOILET CLEANER,  VISUAL,  FRESH VEG,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  PLASTICS & THERMOWAR,  CONFECTIONARY,  HAIR CARE,  PATISSERIE,  KITCHEN TOOLS METAL,  ORAL CARE,  BAKERY,  CARRY BAG WOVEN,  LAUNDRY,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT, PACKAGED TEA,  PULSES,  FOOT WEAR CONC,  BISCUIT,  FLOUR,  SKIN CARE,  FOOD SERVICE,  PACKAGED TEA,  KIDS BOYS BWEAR,  MASALA & SPICE,  BREAKFAST CEREAL,  SOUP,  FRESH FRUIT,  DAIRY,  SALT,  CLEANING AID,  ORGANIC FOOD,  POOJA NEED,  JAMS/HONEY/SPREAD,  READY TO FRY,  FLOOR CARE,  NOODLE/VERMICELLI,  GIFT CARD & VOUCHERS,  DRINKS & JUICES,  CARBONATED"
22,200014535194,
23,200014735961,
24,200014739073,
25,200014756502,
26,200014869143," SWEETENER,  VISUAL,  TOILET CLEANER,  FRESH VEG,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  PLASTICS & THERMOWAR,  PATISSERIE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  BROWN SPIRITS,  CEREALS,  PULSES,  FOOT WEAR CONC,  BISCUIT,  DISINFECTANT AND MUL,  FLOUR,  FOOD SERVICE,  SKIN CARE,  KIDS BOYS BWEAR,  MASALA & SPICE,  BREAKFAST CEREAL,  EDIBLE OIL, UTENSIL CLEANER,  DAIRY,  FRESH FRUIT,  COFFEE,  CLEANING AID,  KITCHEN APPLIANCES,  COOKWARE METAL,  JAMS/HONEY/SPREAD,  POOJA NEED,  NOODLE/VERMICELLI,  FLOOR CARE,  GIFT CARD & VOUCHERS,  BAKERY,  DRINKS & JUICES,  CARBONATED,  READY TO FRY"
27,200015073257,
